,utterance,classes,prompt,EleutherAI/gpt-j-6B
0,i need to know your exchange rates,"['know rates', 'exchange rates', 'know rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Given a user profile: the profile contains all the information needed to answer the question: what are the exchange rate of the US Dollar.
The profile has to be complete in order to provide the most relevant answer. (for more information on profile construction see the profiles sub-section of our wiki)
How the system is supposed to classify the different intents? Which are some good examples of classification of different intent types for this utterances? (I'm looking for some examples or some information in this regard) I need some inspiration and hints on how to do it.  
What is our current approach? I know there is a document on this topic, but I have not yet been able to find it (and I would like to see how our team works to implement something like this) .
Thanks a lot!
PS: I'm not looking forward for the solution, rather, what we have done in the past (e.g. to use a single intent) and how it was done. I am asking about a ""best practice"" approach. As you can tell, it's an open ended question. Thank you again for any information
UPDATE: To clarify, I was looking how the intent was classified on the basis of an utteranc:
I need the rate to buy a house in Mexico. How much it will cost me to rent? and I got the same response (exchange rate) for both intets: Know rates and know rate: The question is which one of them is relevant? This should be done using the ""profile"" of each utterant, so that the one that fits best could be answered. If we don't consider the previous information, we'll get the wrong one. In other words, how do you ""match"" the right intent with a relevant utteration? It's like a fuzzy match, where the user might say a similar utterace to the original but in some cases they could even be wrong. We can't ask him what he really meant, because we can see that it could not be the response for his intent. The goal is to select the correct intent for a specific utterce. Thanks again!!
PPS. An interesting point that I didn't notice: if a question matches a number of intests, the number that has the highest priority (as per the matching intent algorithm"
1,what exchange rates do you offer?,"['exchange rates', 'offer rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","There can be multiple possible answers, which can depend on the context, the domain and the knowledge base available to the system in that context.
For example, for the sentence ""What rates are you offering?"" the intent could be ""Offer rates"" or ""offering rates"". However, we can imagine that in the business context we have, one person may know only about offer and another one about both offer + offering. That is, in an application domain, multiple intents may apply depending on user knowledge, experience or domain. This is a problem in current NLP systems. In fact, NDCG is based on a single intent classification. For a system to work in this scenario it will require different approaches. One of those approaches is to use different classifiers per intent or use a hierarchical classifier to distinguish different intensions."
2,how did you come up with your exchange rates?,"['exchange rates', 'come rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Which is better? and why?

Answer: This question tests your ability to read and interpret a text
and it is one of the questions from our TestMatic practice exams.
You can prepare for it by studying for our test and by reading
other questions on our forums. You should also take the time
to understand what a good answer in this question means. Good
answers are based on reading the given information and on
making a logical argument. Try to learn how we think and how
you would think to solve the problem."
3,where do you guys acquire your exchange rate?,"['acquire rate', 'exchange rate', 'acquire rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","or obtain rate on the exchange? (Note 1 I’m pretty sure rate is used for a number of things, and I don‘t want to use the incorrect one) or perhaps get exchange on rate.

I‚Äôm sure there is a good, natural way of doing this but I just don't know any of it, so I have to ask. Can you help?
(I am not a native speaker, I can't understand why there isn't a more appropriate word for what I'm looking for)
P.S I am trying to find it on Google so that's why it looks a bit weird. Also feel free to edit the question, as there was a bunch of stuff I forgot to put in there. Thanks for your help!
UPDATE:
Forgive my language as I do not speak proper English :( This is probably the most confusing question I've ever seen. The question as written by me is: Can I put these two sentences together: 
""You guys use where on you get the rate?"" (I.e. You use on when asking a question)  and ""I think the natural one would be to get. But what's the appropriate way to form this sentence?""  The way I wrote this I thought ""do you use"" meant ""you use"", but maybe it's not right. If this was right, it would have been this: ""Do you where to the get rate, for example.""
Please tell me what you think, thanks!   (It might not be right to have an ""to get"" in it in this context because I think ""the rate"" here is what is being acquired, not what they're doing to acquire) :)
Note 2: I understand that it is possible to say where you acquire the things from as long as the word you do acquire it from is not part of the sentence. I only want help on sentences that have both parts of where and to where (or where/to where).
Here are some examples: We buy them from (this is when the object is to buy someone /something /a group of people /etc and the verb is ""buy""
Where do I buy from?  = (This would mean ""where do we buy"" and is most like ""We use..."" for"
4,how do i find the exchange rate?,"['find rate', 'exchange rate', 'find rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","What is a good approach with the intent:  exchange the money??
Should there even be such an intent at all? Does the answer to the first part of this question have any bearing on intent? If not, how is this distinction made? For me, the only difference is that with how to exchange money i can use any of the 3 words in the question, while exchange currency, i cannot, hence the use of rate here (i feel this is wrong?).

A:
[Disclaimer : I'm not a lawyer. You should always consult a qualified attorney regarding your contracts / agreements with other parties. And never use a service without having read and understanding every line of their terms.]
From the perspective of contracts, it may be better to treat exchange_rate as a noun and not an action: you cannot exchange currencies without a rate, but you can exchange goods and services without mentioning it's exchange-ness.
The way I understand it, you want to get paid in dollars with euros. In this case, what you probably want is to find a company willing to pay dollars for euros with a specific rate (you can ask for the rate on the phone by calling them).
Your contract will include these lines :   ""We are going to deliver X for you and we will charge your business Y in euros, in case it is acceptable to both parties in writing. If you are not able to provide any specific business terms, we are willing and able as well.""
If you find that a particular company only wants to do business with your company as long as they don't have to deal with exchange rates, then you should specify in your agreement that they will have the freedom to choose their payment provider. This should protect you at least in cases where something goes wrong, and your service provider gets sued."
5,what are your international exchange rates?,"['exchange rates', 'international rates', ' rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Which is correct? I can only assume the second one because international is what it means.
However, I'm not sure if that's what you were asking.  I will add a bit more to what I already said above:
International is a very generic term, like the term 'currency' is very general. In fact it may not even be the most fitting term to talk about this at all. This is because what we usually refer to (when thinking about currencies) as 'international exchange' are just exchanges between currency. They are actually called 'cross currency transactions'. What we normally call 'inter-national exchange rate' (ie. the currency you can exchange your money for at a foreign bank or at the local bureau de change) are in fact 'exchange rates' between the domestic currency and a currency of a country. (A currency is also a term that is used in this context, although most people tend to use the 'local' version for their 'home currency' and the name of the country's currency as the generic name for the other currencies they're interested in.)
So what the question is really asking is if the phrase 'International exchange (rate)' has another term or meaning. I think that would be 'a currency exchange'.  (This is probably the least confusing version of that question)"
6,how often do your exchange rates change,"['exchange rates', 'change rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","In this question, I'm wondering if it would make sense to use ""Exchange rates"" in place of the more specific phrase and whether it makes sense for the phrase or any of its subcategorizations in context.
The reason I think this is interesting is because I feel like the use of ""exchange rate"" implies that a change in ""rate"" occurs. However, in the specific context of this scenario, a person's exchange rate will not be changing, and instead may be a constant. 
My main concern is that the phrasing of a statement may depend on the meaning intended. For example, what if in another example: ""I think that he's the most beautiful thing that I've seen"" the speaker was actually referring to a man, but he was thinking of women and was trying to be complimentary. Would it make logical sense in this case to say ""How often does the man's beauty change""? I am unsure if my question really makes any sense. Any help or feedback would be great. I hope my issue is understandable and clear. Please let me know if its not. Also let know how I can improve this. Thanks for reading my post. Cheers! :)
I am using ""change"" to mean a permanent change, or in other words, ""he's still beautiful"".
Note: I don't have a background in linguistics, this may seem a very specific issue but I assure you, its a topic I care about. My background is in psychology with a side in philosophy and a minor in mathematics. That said, please let your thoughts be constructive. Your responses will definitely influence my thinking and help me get to where I need to go. :) Thanks. Have a wonderful day everyone!
[Edit]
So I found an interesting article, How do exchanges rates determine value. It's really an excellent read. But I also found a related Stack Exchange question (how can I write a mathematical expression to express the exchange currency rate? (EUR/USD)) and it's answer (Excerpt: The exchange (Euros to US dollars) rate is based on supply and demand of both Euro and Dollars, i.e. people will only exchange Euros for Dollars if they can convert it into something that you want in return, therefore the Euro/Dollar exchange market is always in equilibrium. When demand"
7,please advise what is the exchange rate,"['exchange rate', 'advise rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Advise rate of exchange?, advice exchange Rate?, advise exchange ratio?, advise trade exchange Ration?

You can't advise ""the"" exchange. Exchange ratio is not an exchange, or ratio at least. ""The"" is singular, so there is only one exchange (of something) - but a ratio could be exchanged as the ratio of one thing to another.
So you are not advised. You are advised a rate, an amount or something like that
Advise is a transitive verb, and you have to advise something to somebody."
8,how are exchange rates calculated?,"['exchange rates', 'calculated rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","A:
.
How are Exchange Rates calculated? The basic answer here is :
The exchange rate is calculated with the help of a weighted average formula.  
To be exact the exchange is given as the ratio of the sum of purchasing power parity exchange and the average of trade weights. Here  is based on Purchasing Pouind parity and is obtained by dividing the purchasing value of an object with its current price. For example a pair of shoes is valued $100 in US dollars, so it has purchasing price parity with 100$. Then the price of this pair is $20 which is a third of $60 (current price) so the PPP exchange would be $\frac{100}{20}=5. So this ratio is used to calculate the rate of change. If this is done for every item of export or import, then the weighted avg would result in the correct exchange value. This is not exactly what happens to be done, but what I've explained is basically what is being done. See this site for better details."
9,what are exchange rates based on,"['exchange rates', 'based rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","If exchange rate is based (i.e., based rate), then what is it based upon? If no one is talking about a ""base rate"", then perhaps someone can explain what that base rate could be.
I know that the answer is probably ""based rate"" because I asked this question, but I wanted someone with the expertise to explain exactly what I was asking.  Thanks!
Edit: I am going from the exchange-of-currency-pairs perspective, not the ""exchange"" or ""rate"" per se. Thanks again. Edit #2: What I meant was an exchange of two currencies, with two parties, where one says ""these are based, and these are the rates"", and where they are ""Based on"" some criteria and ""Rate of X to Y"".
This is in the context of the phrase ""The rates of one currency in relation to the other currency are""
Which is an example of: ""the rates... are"", which is what we're talking around. We're just wondering which of multiple, possible, bases a rate/exchangerate could use. If there are any others, or if they would be wrong, I'll be happy to learn! I'm asking which one makes the most sense or which would work the least amount-wise in a business context. I'd like to understand the difference. Thank you. My guess is that it is either a) they both mean to base it on something and are talking past each other, because if either one means ""to base something on"", the meaning of ""on"" seems to be a little vague. Or maybe it's b) based exchange is a verb/transitive/verb/object. In any case, thanks! 
Thank you @Sawyer for the info regarding the definition of rate. It was the link you provided that lead me to this, which seems the more useful: http://dictionary.reference.com/search?q=based+rate  I appreciate it, thank you, muchly. Now I can move on! Thanks. And as a side note, the one time I actually had to look up the word ""ExchangeRate"" was on a website where I saw ""Rates of exchange"", so I think ""rates of exchang"" might have been the correct term originally, to avoid"
