,utterance,prompt,bigscience/T0pp
0,I Need To Know Your Exchange Rates.,Considering this utterance: I Need To Know Your Exchange Rates. What is the intent that best describes it?,Request for information about foreign currencies..to know the exchange rate
1,What Exchange Rates Do You Offer?,Considering this utterance: What Exchange Rates Do You Offer? What is the intent that best describes it?,ask for an exchange rate to buy something from abroad
2,How Did You Come Up With Your Exchange Rates?,Considering this utterance: How Did You Come Up With Your Exchange Rates? What is the intent that best describes it?,calculates currency rates by looking at the market
3,Where Do You Guys Acquire Your Exchange Rate?,Considering this utterance: Where Do You Guys Acquire Your Exchange Rate? What is the intent that best describes it?,Asks a question of another person.
4,How Do I Find The Exchange Rate?,Considering this utterance: How Do I Find The Exchange Rate? What is the intent that best describes it?,seek answers or solutions to questions about money and money
5,What Are Your International Exchange Rates?,Considering this utterance: What Are Your International Exchange Rates? What is the intent that best describes it?,inquire into exchange rates from other countries..
6,How Often Do Your Exchange Rates Change,Considering this utterance: How Often Do Your Exchange Rates Change What is the intent that best describes it?,be infrequently updated by market forces or by central banks
7,Please Advise What Is The Exchange Rate,Considering this utterance: Please Advise What Is The Exchange Rate What is the intent that best describes it?,Requesting information about the rate of exchange.
8,How Are Exchange Rates Calculated?,Considering this utterance: How Are Exchange Rates Calculated? What is the intent that best describes it?,Descriptions of a process of change or transformation
9,What Are Exchange Rates Based On,Considering this utterance: What Are Exchange Rates Based On What is the intent that best describes it?,comparing or contrasting things of value in different ways
10,What Are Exchange Rates,Considering this utterance: What Are Exchange Rates What is the intent that best describes it?,description of a financial instrument that can be traded for another
11,What Are The Most Current Exchange Rates?,Considering this utterance: What Are The Most Current Exchange Rates? What is the intent that best describes it?,describe the situation at present and what is the current exchange rate
12,Can You Explain Your Exchange Rate Policy To Me?,Considering this utterance: Can You Explain Your Exchange Rate Policy To Me? What is the intent that best describes it?,describe the narrator's policy
13,Is It A Good Time To Exchange?,Considering this utterance: Is It A Good Time To Exchange? What is the intent that best describes it?,sell it for more money at a higher price
14,What Is The Exchange Rate Like On This App?,Considering this utterance: What Is The Exchange Rate Like On This App? What is the intent that best describes it?,Like a real deal. You will find what they say you'll find.
15,Do You Have A List Of Exchange Rates?,Considering this utterance: Do You Have A List Of Exchange Rates? What is the intent that best describes it?,want to ask a question or make enquires
16,Can You Tell Me Where You Get Your Exchange Rates?,Considering this utterance: Can You Tell Me Where You Get Your Exchange Rates? What is the intent that best describes it?,tell me the exchange rates you use and share with me
17,Will I Get A Curreng Foreign Exchange Rate?,Considering this utterance: Will I Get A Curreng Foreign Exchange Rate? What is the intent that best describes it?,Requesting to know what the rate will be
18,What Currencies Is An Exchange Rate Calculated In?,Considering this utterance: What Currencies Is An Exchange Rate Calculated In? What is the intent that best describes it?,Use a calculator to figure it out.
19,Where Do You Get Your Exchange Rates From?,Considering this utterance: Where Do You Get Your Exchange Rates From? What is the intent that best describes it?,berate the speaker for getting the rates incorrect
20,What Is The Base Of The Exchange Rates?,Considering this utterance: What Is The Base Of The Exchange Rates? What is the intent that best describes it?,Description of currency trading.s.f.
21,What Exchange Rate Do You Use?,Considering this utterance: What Exchange Rate Do You Use? What is the intent that best describes it?,Calculate the cost of a new car
22,The Exchange Rates Are?,Considering this utterance: The Exchange Rates Are? What is the intent that best describes it?,Businesspersons' attitude towards money matters is that exchange rates are irrelevant
23,What Do You Base Your Exchange Rates On?,Considering this utterance: What Do You Base Your Exchange Rates On? What is the intent that best describes it?,Businesspersons use an exchange rate when comparing prices to decide how much to sell or buy.
24,What Foreign Exchange Rate Will You Use?,Considering this utterance: What Foreign Exchange Rate Will You Use? What is the intent that best describes it?,Finance and Business..........sale price
25,How Much Will I Get With The Exchange Rate?,Considering this utterance: How Much Will I Get With The Exchange Rate? What is the intent that best describes it?,calculate the amount of money I will get for my foreign money
26,The Exchange Rate Would Be?,Considering this utterance: The Exchange Rate Would Be? What is the intent that best describes it?,Change it to the value that he wants
27,What Is The Exchange Rate Like?,Considering this utterance: What Is The Exchange Rate Like? What is the intent that best describes it?,Likes being on the computer and looking up things
28,How Do Your Exchange Rates Work?,Considering this utterance: How Do Your Exchange Rates Work? What is the intent that best describes it?,"help others understand currencies. [substeps] You will explain the concept, or intent, of an exchange rate."
29,What Is The Exchange Rate?,Considering this utterance: What Is The Exchange Rate? What is the intent that best describes it?,express concern for something or someone's interest
30,Where Did Your Guys Exchange Rates Come From?,Considering this utterance: Where Did Your Guys Exchange Rates Come From? What is the intent that best describes it?,describe something as unusual as a result of their monetary policy
31,How Are You Determining Your Exchange Rates?,Considering this utterance: How Are You Determining Your Exchange Rates? What is the intent that best describes it?,Businessperson speaking with others as if giving advice
32,I'M Trying To Figure Out The Current Exchange Rate.,Considering this utterance: I'M Trying To Figure Out The Current Exchange Rate. What is the intent that best describes it?,Calculates exchange rates of various currencies for a given date.
33,From Where Are You Getting Your Exchange Rates?,Considering this utterance: From Where Are You Getting Your Exchange Rates? What is the intent that best describes it?,quote prices on the spot and recalculate them
34,Can You Tell Me The Foreign Exchange Rate?,Considering this utterance: Can You Tell Me The Foreign Exchange Rate? What is the intent that best describes it?,Asking a question about the rate of something
35,Why Do Your Exchange Rates Change,Considering this utterance: Why Do Your Exchange Rates Change What is the intent that best describes it?,he believes that they change to reflect market forces
36,What Kind Of Foreign Exchange Rate Will I Get When I Exchange My Money?,Considering this utterance: What Kind Of Foreign Exchange Rate Will I Get When I Exchange My Money? What is the intent that best describes it?,"get the best rate possible for my money, or least"
